Data;Ora;Luogo;Feriti;Tipo Sinistro;Latitudine;Longitudine
01/01/2022;03:00;VIALE DE MAURO MAURO altezza L.DA VINCI;0;C;38,126112;13,302429
01/01/2022;03:20;PIAZZA LEONI intersezione VIA DELL'ARTIGLIERE;0;C;38,146713;13,343785
01/01/2022;13:30;VIA COSTANTINO DOMENICO altezza del civico 26;0;C;38,13113;13,343628
01/01/2022;20:30;LARGO CUCCO ALFREDO pressi civico 2;1;F;38,139347;13,332377
02/01/2022;07:30;VIA TELESINO ALESSANDRO di fronte al civico 77;0;C;38,124924;13,327489
02/01/2022;21:00;CORSO DEI MILLE altezza del civico 1440;0;C;38,091932;13,411658
03/01/2022;13:30;VIA SAITTA LONGHI altezza del civico 94;0;C;38,090755;13,312744
03/01/2022;14:25;CORSO DEI MILLE altezza del civico 557;1;F;38,101054;13,382618
03/01/2022;21:00;VIA CATANIA intersezione VIA PRINCIPE DI VILLAFRANCA;1;F;38,128176;13,35014
04/01/2022;00:15;VIA PADRE ROSARIO DA PARTANNA altezza del civico 5;0;C;38,170411;13,320804
04/01/2022;08:25;VIALE DELLE ROSE intersezione con VIA ARMIDA;1;F;38,199818;13,325773
04/01/2022;10:30;VIA RIBERA altezza del civico 18;0;C;38,117758;13,34972
04/01/2022;10:50;VIA NOTARBARTOLO EMANUELE nr. 54;1;F;38,131438;13,340912
04/01/2022;19:10;VIA DANTE intersezione con PIAZZA STAZIONE LOLLI;1;F;38,122798;13,346714
04/01/2022;20:05;VIA BESTA FABIO di fronte al civico 43/B;0;C;38,176235;13,307046
04/01/2022;22:08;PIAZZA VERDI GIUSEPPE intersezione VIA FAVARA ALBERTO;1;F;38,119567;13,356879
05/01/2022;10:00;VIA SERRADIFALCO intersezione con VIA AURISPA GIOVANNI;2;F;38,125966;13,338316
05/01/2022;10:30;VIA BONANNO PIETRO altezza (spec.) CAPP. BELVEDERE;1;F;38,156036;13,358099
05/01/2022;20:30;VIA BRIGATA AOSTA intersezione VIA COSTANZO AURELIO;2;F;38,135506;13,360486
05/01/2022;20:34;VIALE STRASBURGO intersezione con VIA PRINCIPE DI PANTELLERIA;1;F;38,158789;13,324577
05/01/2022;21:00;PIAZZA DON BOSCO in prossimit? di di;0;C;38,14412;13,3455
06/01/2022;00:55;VIALE REGIONE SICILIANA S.E. altezza (spec.) ENI BONAGIA;0;C;38,088415;13,366822
06/01/2022;19:45;CORSO DEI MILLE intersezione con VIA BENNICI GIUSEPPE;0;C;38,105581;13,375301
07/01/2022;08:40;VIA RESUTTANA di fronte al civico 364;1;F;38,151902;13,336608
07/01/2022;09:00;VIALE XXVII MAGGIO intersezione VIA PECORI GIRALDI GUGLIELMO M;0;C;38,095693;13,403735
07/01/2022;14:30;VIA CORAZZA FILIPPO intersezione VIA ERRANTE VINCENZO;1;F;38,107139;13,36349
07/01/2022;15:55;VIA DELLA LIBERTA' intersezione VIA PIPITONE FEDERICO GIUSEPPE;1;F;38,136832;13,347747
07/01/2022;17:00;VIALE CROCE ROSSA altezza del civico 140;2;F;38,146636;13,341495
07/01/2022;22:40;VIA LA MANTIA VITO intersezione VIA SCIMONELLI IGNAZIO;1;F;38,121557;13,346169
08/01/2022;03:10;PIAZZA BOIARDO MATTEO MARIA intersezione VIA NOTARBARTOLO EMANUELE;0;C;38,13191;13,342285
08/01/2022;05:50;VIALE NICOLETTI ROSARIO altezza (spec.) -sopravia;1;F;;
08/01/2022;08:15;VIALE REGIONE SICILIANA N.O. altezza del civico 33;0;C;;
08/01/2022;17:45;VIA BRASCA intersezione VIA S.MARIA DI GESU';0;C;38,084285;13,377248
08/01/2022;20:15;VIA S.MARIA DI GESU' altezza del civico 98 M;4;F;38,09144;13,37361
09/01/2022;13:20;VIA FERRUZZA ENRICO altezza del civico 24;1;F;38,090229;13,406366
09/01/2022;16:00;VIA DECOLLATI altezza del civico 2/b;0;C;38,106472;13,373295
09/01/2022;21:30;VIA CUCCIA SIMONE altezza (inters.) VIA DI MARCO DOMENICO;0;C;38,140328;13,344382
09/01/2022;22:00;PIAZZA ORLANDO VITTORIO EMANUELE di fronte al civico 12;1;F;38,11942;13,350952
09/01/2022;23:10;VIA COSTANTINO DOMENICO intersezione VIA MORELLO NUNZIO;3;F;38,131511;13,344859
10/01/2022;10:33;VIA MULE' GIUSEPPE intersezione con VIA MARINUZZI GINO;1;F;38,10282;13,336433
10/01/2022;11:30;VIA DIANA altezza (spec.) casa natura;0;C;38,166461;13,339355
10/01/2022;17:06;CORSO CALATAFIMI altezza del civico 1013/C;2;F;38,098414;13,318932
10/01/2022;17:30;VIA SPINELLI VINCENZO altezza 56;0;C;38,149977;13,335815
10/01/2022;20:00;VIA BRUNELLESCHI FILIPPO altezza (inters.) VIA PARRINI;0;C;38,138071;13,313479
11/01/2022;08:30;CORSO DEI MILLE altezza del civico 1307;0;C;38,092145;13,411012
11/01/2022;09:30;CORSO DEI MILLE altezza del civico 1317;0;C;38,091829;13,411859
11/01/2022;14:20;VIA SARULLO LUIGI di fronte al civico 13;2;F;38,122563;13,304218
11/01/2022;14:40;VIALE REGIONE SICILIANA S.E. altezza BABY-LUNA;0;C;38,090453;13,343603
11/01/2022;15:25;VIALE REGIONE SICILIANA S.E. altezza TRIONFANTE;1;F;38,147483;13,327792
11/01/2022;17:30;VIA LA MALFA UGO di fronte al civico 176;1;F;38,166023;13,307443
11/01/2022;19:10;VIA MONGITORE ANTONINO intersezione LARGO GERBASI MICHELE;2;F;38,109696;13,355543
11/01/2022;21:55;CORSO DEI MILLE altezza del civico 1406;0;C;38,092312;13,410542
12/01/2022;09:15;VIALE DIANA s.n.c.;0;C;38,152085;13,348626
12/01/2022;10:45;VIALE REGIONE SICILIANA S.E. altezza del civico 636;0;C;38,098015;13,33339
12/01/2022;16:20;VIA CAMPOLO GIOVANNI intersezione con VIA PACINOTTI ANTONIO;1;F;38,12873;13,335502
12/01/2022;17:30;VIA CRISPI FRANCESCO intersezione PIAZZA TREDICI VITTIME;0;C;38,12257;13,365103
12/01/2022;18:00;VIA ROMA altezza BARA ALL'OLIVEL;1;F;38,121188;13,361331
12/01/2022;18:20;VIA DUCA DELLA VERDURA intersezione con PIAZZA GENTILI ALBERICO;2;F;38,133913;13,350588
12/01/2022;20:50;VIA MESSINA MARINE altezza del civico 489;0;C;38,098269;13,409415
12/01/2022;22:00;VIA PARISIO CATALDO intersezione VIA FALCANDO UGO;0;C;38,125729;13,337238
12/01/2022;23:30;VIA GUARINO AMELLA GIOVANNI altezza del civico 2F;0;C;38,123816;13,35396
13/01/2022;07:05;VIALE GALATEA intersezione VIA PAZIENZA;1;F;;
13/01/2022;09:25;VIA DELLA LIBERTA' intersezione VIA TURATI FILIPPO;0;C;38,125115;13,355586
13/01/2022;10:15;VIALE GALILEO GALILEI intersezione VIA DE SALIBA ANTONIO;0;C;38,133563;13,333692
13/01/2022;11:20;VIA ACIREALE intersezione LARGO CASTELBUONO;0;C;38,13095;13,301356
13/01/2022;14:20;VIA WAGNER RICCARDO intersezione VIA STABILE MARIANO;0;C;38,123414;13,358844
13/01/2022;18:00;VIA LANDOLINA SAVERIO altezza del civico 58;1;F;38,141729;13,360436
13/01/2022;18:10;VIA CRISPI FRANCESCO pressi sottovia;0;C;38,123314;13,364689
13/01/2022;18:15;VIA CRISPI FRANCESCO altezza SOTTOPONTE;0;C;38,123314;13,364689
13/01/2022;22:15;VIA ALBRICCI ALBERIGO GEN. altezza del civico 28;0;C;38,101633;13,395139
13/01/2022;23:30;VIA CRISPI FRANCESCO altezza Distrib. ESSO;0;C;38,130251;13,36065
14/01/2022;02:00;PIAZZA DIODORO SICULO di fronte al civico 16;0;C;38,127725;13,346212
14/01/2022;02:00;PIAZZA NOCE altezza (spec.) civ. 1 E;1;F;38,121953;13,333484
14/01/2022;11:00;VIA GIACHERY CARLO altezza (spec.) metro;0;C;38,135392;13,358748
14/01/2022;11:05;VIA TRICOMI ERNESTO pressi Pron socc civic;1;F;38,101702;13,356554
14/01/2022;12:40;VIA SETTIMO RUGGERO intersezione VIA MAGLIOCCO VINCENZO GEN.;1;F;38,121887;13,357405
14/01/2022;13:55;VIA GORGONE GIOVANNI intersezione VIA VIOLA EMANUELE;0;C;38,148666;13,314794
14/01/2022;14:19;PIAZZA PRINCIPE DI CAMPOREALE di fronte al civico 39;1;F;38,120023;13,339549
14/01/2022;15:45;VIALE VENERE altezza VIALE M. DI SAV;0;C;38,189619;13,332854
14/01/2022;15:45;VIALE VENERE altezza M. DI SAVOIA;1;F;38,189619;13,332854
14/01/2022;19:20;VIA DE FILIPPO TITINA altezza del civico 44;0;C;38,102325;13,327135
14/01/2022;19:50;VIA ROMA di fronte al civico 531;1;F;38,125804;13,358178
14/01/2022;22:30;VIA MESSINA MARINE nr. 383;0;C;38,103155;13,393761
15/01/2022;00:45;VIA CRISPI FRANCESCO altezza del civico 248;2;F;38,129297;13,360997
15/01/2022;05:00;VIA S.LORENZO altezza del civico 251;0;C;38,163961;13,320557
15/01/2022;08:30;VIALE REGIONE SICILIANA N.O. altezza del civico 8648;1;F;38,170779;13,299434
15/01/2022;09:05;VIA NIGRA COSTANTINO intersezione con VIA PRINCIPE DI VILLAFRANCA;1;F;38,129406;13,349394
15/01/2022;12:00;VIA MESSINA MARINE altezza del civico 226;0;C;38,099162;13,405223
15/01/2022;13:00;VIA GOETHE intersezione con VIA TURRISI NICOLO';1;F;38,119882;13,350794
