"cod_reg","cod_prov","pro_com","comune","ar_kmq","ar_id_p3","ar_id_p2","ar_id_p1","aridp3_p","aridp2_p","aridp1_p","pop_res011","pop_gio","pop_gio_p","pop_adu","pop_adu_p","pop_anz","pop_anz_p","pop_idr_p3","pop_idr_p2","pop_idr_p1","popidp3_p","popidp2_p","popidp1_p","fam_tot","fam_idr_p3","fam_idr_p2","fam_idr_p1","famidp3_p","famidp2_p","famidp1_p","ed_tot","ed_idr_p3","ed_idr_p2","ed_idr_p1","edidp3_p","edidp2_p","edidp1_p","im_tot","im_idr_p3","im_idr_p2","im_idr_p1","imidp3_p","imidp2_p","imidp1_p","n_vir","bbcc_id_p3","bbcc_id_p2","bbcc_id_p1","bbccidp3_p","bbccidp2_p","bbccidp1_p","ar_fr_p4","ar_fr_p3","ar_fr_p2","ar_fr_p1","ar_fr_aa","ar_fr_p3p4","ar_frp4_p","ar_frp3_p","ar_frp2_p","ar_frp1_p","ar_fraa_p","ar_frp3p4p","pop_fr_p4","pop_fr_p3","pop_fr_p2","pop_fr_p1","pop_fr_aa","popfr_p3p4","popfrp4_p","popfrp3_p","popfrp2_p","popfrp1_p","popfraa_p","popfrp3p4p","fam_fr_p4","fam_fr_p3","fam_fr_p2","fam_fr_p1","fam_fr_aa","famfr_p3p4","famfrp4_p","famfrp3_p","famfrp2_p","famfrp1_p","famfraa_p","famfrp3p4p","ed_fr_p4","ed_fr_p3","ed_fr_p2","ed_fr_p1","ed_fr_aa","ed_fr_p3p4","edfrp4_p","edfrp3_p","edfrp2_p","edfrp1_p","edfraa_p","edfrp3p4p","im_fr_p4","im_fr_p3","im_fr_p2","im_fr_p1","im_fr_aa","imfr_p3p4","imfrp4_p","imfrp3_p","imfrp2_p","imfrp1_p","imfraa_p","imfrp3p4p","bbcc_fr_p4","bbcc_fr_p3","bbcc_fr_p2","bbcc_fr_p1","bbcc_fr_aa","bbccfrp3p4","bbccfrp4_p","bbccfrp3_p","bbccfrp2_p","bbccfrp1_p","bbccfraa_p","bbccfrp34p"
1,1,1077,"Chiaverano",12.022,0.171,0.859,1.498,1.422,7.145,12.46,2106,264,12.536,1263,59.972,579,27.493,83,442,510,3.941,20.988,24.217,907,35,189,219,3.859,20.838,24.146,844,35,181,208,4.147,21.445,24.645,140,4,27,34,2.857,19.286,24.286,6,0,0,0,0,0,0,0.361,0.773,0.096,0,0,1.134,3.003,6.43,0.799,0,0,9.433,85,298,2,0,0,383,4.036,14.15,0.095,0,0,18.186,36,126,1,0,0,162,3.969,13.892,0.11,0,0,17.861,35,121,1,0,0,156,4.147,14.336,0.118,0,0,18.483,5,19,0,0,0,24,3.571,13.571,0,0,0,17.143,0,0,0,0,0,0,0,0,0,0,0,0
18,101,101005,"Castelsilano",40.063,8.062,8.062,8.062,20.123,20.123,20.123,1034,91,8.801,674,65.184,269,26.015,36,36,36,3.482,3.482,3.482,484,18,18,18,3.719,3.719,3.719,691,24,24,24,3.473,3.473,3.473,41,1,1,1,2.439,2.439,2.439,3,1,1,1,33.333,33.333,33.333,0.151,0.098,0.073,0,0,0.249,0.377,0.245,0.182,0,0,0.622,0,10,28,0,0,10,0,0.967,2.708,0,0,0.967,0,5,14,0,0,5,0,1.033,2.893,0,0,1.033,0,8,20,0,0,8,0,1.158,2.894,0,0,1.158,0,1,0,0,0,1,0,2.439,0,0,0,2.439,0,0,0,0,0,0,0,0,0,0,0,0
1,96,96071,"Valdengo",7.677,0.161,0.319,0.842,2.097,4.155,10.968,2532,288,11.374,1624,64.139,620,24.487,28,93,357,1.106,3.673,14.1,1085,13,41,156,1.198,3.779,14.378,851,7,30,124,0.823,3.525,14.571,207,4,13,47,1.932,6.28,22.705,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,101,101010,"Crotone",181.995,55.546,60.22,62.157,30.521,33.089,34.153,58881,9712,16.494,39908,67.777,9261,15.728,13837,18731,21545,23.5,31.812,36.591,21474,4836,6613,7606,22.52,30.795,35.42,7793,1710,2334,2593,21.943,29.95,33.273,3769,550,1017,1162,14.593,26.983,30.83,52,3,4,11,5.769,7.692,21.154,0.284,0.93,1.441,0,15.147,1.214,0.156,0.511,0.792,0,8.323,0.667,77,386,123,0,1692,463,0.131,0.656,0.209,0,2.874,0.786,29,139,38,0,600,168,0.135,0.647,0.177,0,2.794,0.782,29,127,30,0,318,156,0.372,1.63,0.385,0,4.081,2.002,2,14,3,0,35,16,0.053,0.371,0.08,0,0.929,0.425,0,0,0,0,0,0,0,0,0,0,0,0
19,83,83021,"Fiumedinisi",36.694,0.241,0.246,0.256,0.657,0.67,0.698,1559,225,14.432,988,63.374,346,22.194,202,215,225,12.957,13.791,14.432,711,94,100,104,13.221,14.065,14.627,1300,179,187,193,13.769,14.385,14.846,80,12,13,14,15,16.25,17.5,16,5,5,5,31.25,31.25,31.25,2.625,0.434,0.833,0.273,0.055,3.059,7.154,1.183,2.27,0.744,0.15,8.337,113,3,11,11,1,116,7.248,0.192,0.706,0.706,0.064,7.441,51,1,5,5,1,52,7.173,0.141,0.703,0.703,0.141,7.314,92,3,9,22,1,95,7.077,0.231,0.692,1.692,0.077,7.308,5,0,0,1,0,5,6.25,0,0,1.25,0,6.25,1,0,0,0,0,1,6.25,0,0,0,0,6.25
1,1,1079,"Chiesanuova",4.119,0,0,0,0,0,0,203,21,10.345,121,59.606,61,30.049,0,0,0,0,0,0,119,0,0,0,0,0,0,219,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0.263,0,0,0,0,0.263,6.385,0,0,0,0,6.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1089,"Coazze",56.573,0.676,0.785,0.817,1.195,1.388,1.444,3084,394,12.776,2038,66.083,652,21.141,30,97,109,0.973,3.145,3.534,1482,14,47,52,0.945,3.171,3.509,1892,21,55,59,1.11,2.907,3.118,199,1,6,6,0.503,3.015,3.015,6,0,1,1,0,16.667,16.667,1.107,2.327,0.74,0,0,3.434,1.957,4.113,1.308,0,0,6.07,16,1,1,0,0,17,0.519,0.032,0.032,0,0,0.551,9,1,0,0,0,10,0.607,0.067,0,0,0,0.675,23,3,2,0,0,26,1.216,0.159,0.106,0,0,1.374,1,0,0,0,0,1,0.503,0,0,0,0,0.503,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1007,"Alpette",5.626,0.047,0.069,0.069,0.835,1.226,1.226,277,22,7.942,169,61.011,86,31.047,0,0,0,0,0,0,166,0,0,0,0,0,0,616,1,1,1,0.162,0.162,0.162,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131,0,0,0,0,0.131,2.328,0,0,0,0,2.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0.325,0,0,0,0,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1039,"Brusasco",14.359,3.447,4.46,4.688,24.006,31.061,32.649,1726,232,13.441,1075,62.283,419,24.276,46,70,87,2.665,4.056,5.041,733,20,31,39,2.729,4.229,5.321,677,17,27,34,2.511,3.988,5.022,97,4,6,7,4.124,6.186,7.216,8,0,1,2,0,12.5,25,1.079,0.928,0,0,0,2.007,7.514,6.463,0,0,0,13.977,20,32,0,0,0,52,1.159,1.854,0,0,0,3.013,8,14,0,0,0,22,1.091,1.91,0,0,0,3.001,9,13,0,0,0,22,1.329,1.92,0,0,0,3.25,1,2,0,0,0,3,1.031,2.062,0,0,0,3.093,0,1,0,0,0,1,0,12.5,0,0,0,12.5
1,1,1006,"Almese",17.876,0,1.266,3.343,0,7.082,18.701,6303,876,13.898,4109,65.191,1318,20.911,0,649,2395,0,10.297,37.998,2780,0,289,1069,0,10.396,38.453,2196,0,214,757,0,9.745,34.472,546,0,77,284,0,14.103,52.015,13,0,1,2,0,7.692,15.385,0,1.18,0.827,0,0,1.18,0,6.601,4.626,0,0,6.601,0,1353,871,0,0,1353,0,21.466,13.819,0,0,21.466,0,601,395,0,0,601,0,21.619,14.209,0,0,21.619,0,424,266,0,0,424,0,19.308,12.113,0,0,19.308,0,154,96,0,0,154,0,28.205,17.582,0,0,28.205,0,4,5,0,0,4,0,30.769,38.462,0,0,30.769
3,13,13137,"Lurago Marinone",3.885,0,0,0.002,0,0,0.051,2456,366,14.902,1693,68.933,397,16.164,0,0,0,0,0,0,988,0,0,0,0,0,0,670,0,0,0,0,0,0,179,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1083,"Ciconio",3.164,0.032,1.3,1.301,1.011,41.087,41.119,371,56,15.094,236,63.612,79,21.294,0,175,175,0,47.17,47.17,150,0,73,73,0,48.667,48.667,189,0,90,90,0,47.619,47.619,20,0,9,9,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1087,"Claviere",2.687,0.059,0.116,0.124,2.196,4.317,4.615,192,31,16.146,133,69.271,28,14.583,13,53,59,6.771,27.604,30.729,86,6,24,26,6.977,27.907,30.233,115,8,31,35,6.957,26.957,30.435,40,3,10,12,7.5,25,30,4,0,0,0,0,0,0,0.1,0.062,0,0,0,0.162,3.722,2.307,0,0,0,6.029,2,43,0,0,0,45,1.042,22.396,0,0,0,23.438,1,19,0,0,0,20,1.163,22.093,0,0,0,23.256,1,26,0,0,0,27,0.87,22.609,0,0,0,23.478,0,9,0,0,0,9,0,22.5,0,0,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1022,"Bardonecchia",132.203,0.199,2.662,3.206,0.151,2.014,2.425,3212,419,13.045,2088,65.006,705,21.949,2,1802,2516,0.062,56.102,78.331,1686,1,952,1334,0.059,56.465,79.122,1631,5,743,1028,0.307,45.555,63.029,388,0,243,322,0,62.629,82.99,23,0,11,15,0,47.826,65.217,16.223,38.288,0.003,0,0,54.511,12.271,28.962,0.002,0,0,41.233,454,2244,0,0,0,2698,14.134,69.863,0,0,0,83.998,243,1174,0,0,0,1417,14.413,69.632,0,0,0,84.045,283,991,0,0,0,1274,17.351,60.76,0,0,0,78.112,32,304,0,0,0,336,8.247,78.351,0,0,0,86.598,7,14,0,0,0,21,30.435,60.87,0,0,0,91.304
1,1,1062,"Caselette",14.314,0.758,1.289,1.679,5.296,9.005,11.73,2931,436,14.875,1872,63.869,623,21.256,4,7,9,0.136,0.239,0.307,1178,1,3,3,0.085,0.255,0.255,739,2,3,4,0.271,0.406,0.541,238,2,3,4,0.84,1.261,1.681,12,0,0,0,0,0,0,0.023,0,0,0,0,0.023,0.161,0,0,0,0,0.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1082,"Chivasso",51.238,7.424,16.091,22.896,14.489,31.404,44.686,25914,3412,13.167,17010,65.64,5492,21.193,72,486,5991,0.278,1.875,23.119,11343,30,207,2718,0.264,1.825,23.962,4887,16,198,1118,0.327,4.052,22.877,1953,13,43,421,0.666,2.202,21.557,23,1,1,5,4.348,4.348,21.739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1011,"Angrogna",38.878,0.075,0.206,0.223,0.193,0.53,0.574,870,110,12.644,549,63.103,211,24.253,2,9,9,0.23,1.034,1.034,428,1,4,4,0.234,0.935,0.935,1080,3,12,12,0.278,1.111,1.111,42,0,0,0,0,0,0,27,0,0,0,0,0,0,1.169,2.366,0.19,0,0,3.535,3.007,6.086,0.489,0,0,9.093,14,4,1,0,0,18,1.609,0.46,0.115,0,0,2.069,7,3,1,0,0,10,1.636,0.701,0.234,0,0,2.336,20,15,4,0,0,35,1.852,1.389,0.37,0,0,3.241,1,0,0,0,0,1,2.381,0,0,0,0,2.381,0,1,0,0,0,1,0,3.704,0,0,0,3.704
